,INTERSECTION,VIOLATIONS,LATITUDE,LONGITUDE,SCALE,geometry,TEXT,NORMALIZED
132,NORTHWEST HWY-FOSTER,1089,41.968876,-87.66944000000001,10.89,POINT (-87.66944000000001 41.968876),NORTHWEST HWY-FOSTER: 1089 total violations,0.008241208042938396
133,OGDEN-KOSTNER,24016,41.952915999999995,-87.786558,240.16,POINT (-87.786558 41.95291599999999),OGDEN-KOSTNER: 24016 total violations,0.2378234398782344
134,PERSHING-WESTERN,8766,41.749842,-87.702396,87.66,POINT (-87.70239599999999 41.749842),PERSHING-WESTERN: 8766 total violations,0.08511575743010494
135,PETERSON-WESTERN,18625,41.895367,-87.726078,186.25,POINT (-87.726078 41.895367),PETERSON-WESTERN: 18625 total violations,0.18384002243050548
136,PULASKI-63RD,14634,41.989697,-87.669985,146.34,POINT (-87.669985 41.989697),PULASKI-63RD: 14634 total violations,0.1438756709124409
137,PULASKI-79TH,8935,41.847697,-87.734387,89.35,POINT (-87.734387 41.847697),PULASKI-79TH: 8935 total violations,0.08680805896018585
138,PULASKI-ARCHER,9245,42.011553,-87.812251,92.45,POINT (-87.812251 42.011553),PULASKI-ARCHER: 9245 total violations,0.08991228070175439
139,PULASKI-ARMITAGE,8942,41.917165000000004,-87.726559,89.42,POINT (-87.72655899999999 41.917165),PULASKI-ARMITAGE: 8942 total violations,0.08687815428983417
140,PULASKI-BELMONT,6244,41.73605,-87.645174,62.44,POINT (-87.645174 41.73605),PULASKI-BELMONT: 6244 total violations,0.05986141151966674
141,PULASKI-CHICAGO,8963,41.866172,-87.725169,89.63,POINT (-87.72516899999999 41.866172),PULASKI-CHICAGO: 8963 total violations,0.08708844027877914
142,PULASKI-DIVERSEY,7580,41.924237,-87.746302,75.8,POINT (-87.746302 41.924237),PULASKI-DIVERSEY: 7580 total violations,0.073239605863975
143,PULASKI-DIVISION,8490,41.692355,-87.642377,84.9,POINT (-87.642377 41.692355),PULASKI-DIVISION: 8490 total violations,0.08235199871825682
144,PULASKI-FOSTER,12935,41.946124,-87.747064,129.35,POINT (-87.74706399999999 41.946124),PULASKI-FOSTER: 12935 total violations,0.12686253304494113
145,PULASKI-FULLERTON,8617,41.910920000000004,-87.648273,86.17,POINT (-87.648273 41.91092),PULASKI-FULLERTON: 8617 total violations,0.08362372827044781
146,PULASKI-IRVING PARK,15499,41.916931,-87.746111,154.99,POINT (-87.746111 41.916931),PULASKI-IRVING PARK: 15499 total violations,0.15253745093326926
147,PULASKI-LAWRENCE,3994,,,39.94,POINT (nan nan),PULASKI-LAWRENCE: 3994 total violations,0.03733076984699191
148,PULASKI-MONTROSE,457,41.997354,-87.787444,4.57,POINT (-87.78744399999999 41.997354),PULASKI-MONTROSE: 457 total violations,0.001912601137547064
149,PULASKI-NORTH,6258,41.954291,-87.66904699999999,62.58,POINT (-87.66904699999999 41.954291),PULASKI-NORTH: 6258 total violations,0.06000160217896339
150,PULASKI-PETERSON,9012,41.793513,-87.703553,90.12,POINT (-87.703553 41.793513),PULASKI-PETERSON: 9012 total violations,0.08757910758631739
